Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus DAPI Min (Normalized Counts, Peak Weighting)	Nucleus DAPI Mean (Normalized Counts, Peak Weighting)	Nucleus DAPI Max (Normalized Counts, Peak Weighting)	Nucleus DAPI Std Dev (Normalized Counts, Peak Weighting)	Nucleus DAPI Total (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 570 Total (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Min (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Mean (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Max (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Nucleus Opal 650 Total (Normalized Counts, Peak Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Membrane Axis Ratio	Membrane DAPI Min (Normalized Counts, Peak Weighting)	Membrane DAPI Mean (Normalized Counts, Peak Weighting)	Membrane DAPI Max (Normalized Counts, Peak Weighting)	Membrane DAPI Std Dev (Normalized Counts, Peak Weighting)	Membrane DAPI Total (Normalized Counts, Peak Weighting)	Membrane Opal 570 Min (Normalized Counts, Peak Weighting)	Membrane Opal 570 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 570 Max (Normalized Counts, Peak Weighting)	Membrane Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 570 Total (Normalized Counts, Peak Weighting)	Membrane Opal 650 Min (Normalized Counts, Peak Weighting)	Membrane Opal 650 Mean (Normalized Counts, Peak Weighting)	Membrane Opal 650 Max (Normalized Counts, Peak Weighting)	Membrane Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Membrane Opal 650 Total (Normalized Counts, Peak Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Entire Cell Axis Ratio	Entire Cell DAPI Min (Normalized Counts, Peak Weighting)	Entire Cell DAPI Mean (Normalized Counts, Peak Weighting)	Entire Cell DAPI Max (Normalized Counts, Peak Weighting)	Entire Cell DAPI Std Dev (Normalized Counts, Peak Weighting)	Entire Cell DAPI Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 570 Total (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Min (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Mean (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Max (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Std Dev (Normalized Counts, Peak Weighting)	Entire Cell Opal 650 Total (Normalized Counts, Peak Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6626.16804
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	others	all	663	14761472	44.91							692343	4.69%					0.180	0.866	2.890	0.264	599299.859	0.026	0.126	1.229	0.062	86940.879	0.016	0.179	1.311	0.196	123679.341	120947	1.75%					0.075	0.314	2.898	0.116	37987.724	0.012	0.124	2.407	0.078	14981.048	0.007	0.208	1.522	0.234	25151.852	813290	6.44%					0.000	0.784	2.898	0.233	637287.584	0.000	0.125	2.407	0.062	101921.927	0.000	0.183	1.522	0.201	148831.193		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	p95M	all	25	14761472	1.69							144886	0.98%					0.184	0.813	2.314	0.134	117742.019	0.032	0.189	4.335	0.118	27416.842	0.023	0.089	0.571	0.035	12848.780	8645	0.06%					0.115	0.336	2.040	0.123	2905.447	0.027	0.117	2.290	0.121	1009.147	0.017	0.076	0.682	0.091	653.727	153531	1.04%					0.000	0.786	2.314	0.132	120647.466	0.000	0.185	4.335	0.109	28425.990	0.000	0.088	0.682	0.040	13502.507		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	p95MC	all	2258	14761472	152.97							2346397	15.90%					0.131	0.735	2.650	0.194	1724608.827	0.030	0.317	3.166	0.119	744420.415	0.023	0.331	1.330	0.139	776980.704	402767	2.73%					0.080	0.310	2.647	0.093	124987.117	0.017	0.386	4.246	0.159	155410.302	0.011	0.448	1.404	0.170	180431.515	2749164	18.62%					0.000	0.673	2.650	0.171	1849595.945	0.000	0.327	4.246	0.118	899830.717	0.000	0.348	1.404	0.140	957412.219		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	WT/d16	all	6	14761472	0.41							4709	0.03%					0.239	0.820	2.126	0.381	3859.785	0.085	0.332	1.424	0.242	1564.956	0.183	0.778	2.133	0.351	3664.837	998	0.01%					0.101	0.380	1.766	0.125	378.832	0.027	0.266	1.110	0.085	265.569	0.084	0.608	1.764	0.123	606.918	5707	0.04%					0.000	0.743	2.126	0.327	4238.617	0.000	0.321	1.424	0.206	1830.525	0.000	0.749	2.133	0.284	4271.756		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	WT/d16/p95M	all	59	14761472	4.00							62393	0.42%					0.123	0.639	1.731	0.129	39862.267	0.018	0.320	2.656	0.133	19943.379	0.041	0.288	1.183	0.118	17939.399	10921	0.07%					0.082	0.291	1.898	0.068	3174.694	0.020	0.429	2.612	0.194	4683.388	0.027	0.426	1.396	0.141	4657.695	73314	0.50%					0.000	0.587	1.898	0.112	43036.961	0.000	0.336	2.656	0.132	24626.767	0.000	0.308	1.396	0.114	22597.094		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	WT/d16/p95MC	all	51	14761472	3.45							59358	0.40%					0.095	0.776	2.626	0.266	46046.264	0.044	0.254	1.244	0.078	15052.852	0.045	0.503	1.404	0.114	29841.657	10910	0.07%					0.091	0.305	2.502	0.078	3327.621	0.020	0.227	1.245	0.063	2472.427	0.037	0.530	1.478	0.125	5780.892	70268	0.48%					0.000	0.703	2.626	0.225	49373.886	0.000	0.249	1.245	0.073	17525.279	0.000	0.507	1.478	0.108	35622.550		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	tumor	All	all	3062	14761472	207.43							3310086	22.42%					0.095	0.765	2.890	0.219	2531419.022	0.018	0.270	4.335	0.137	895339.324	0.016	0.292	2.133	0.171	964954.719	555188	8.04%					0.075	0.311	2.898	0.098	172761.437	0.012	0.322	4.246	0.183	178821.881	0.007	0.391	1.764	0.213	217282.600	3865274	30.47%					0.000	0.700	2.898	0.193	2704180.458	0.000	0.278	4.335	0.139	1074161.205	0.000	0.306	2.133	0.174	1182237.319		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	others	all	85	6903744	12.3							74332	1.08%					0.202	0.694	2.995	0.262	51598.779	0.016	0.064	0.332	0.013	4781.351	0.012	0.043	0.358	0.006	3192.158	14639	0.21%					0.095	0.260	1.899	0.070	3808.489	0.014	0.061	0.745	0.015	898.524	0.009	0.040	0.546	0.009	591.730	88971	1.29%					0.000	0.623	2.995	0.212	55407.268	0.000	0.064	0.745	0.012	5679.876	0.000	0.043	0.546	0.006	3783.888		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	p95M	all	0	6903744	0.0							0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.00%					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		18SP-07900	0	0	0	0		
W:\vectra3\HER profile for patients\completed for analysis\6th set\18SP-07900\Scan1\MSI	18SP-07900_[14542,56571].im3	other	p95MC	all	1	6903744	0.14							701	0.01%					0.281	0.421	0.661	#N/A	294.872	0.062	0.122	0.190	#N/A	85.702	0.040	0.069	0.102	#N/A	48.078	162	0.00%					0.090	0.167	0.310	#N/A	27.034	0.021	0.053	0.095	#N/A	8.611	0.020	0.045	0.077	#N/A	7.282	863	0.01%					0.000	0.373	0.661	#N/A	321.906	0.000	0.109	0.190	#N/A	94.313	0.000	0.064	0.102	#N/A	55.360		18SP-07900	0	0	0	0		
